help | Shows the main menu
keanu <Text 1> <Text 2> | Conspiracy Keanu
kermit <Text 1> <Text 2> | But That's None of My Business
kombucha <Text 1> <Text 2> | Kombucha Girl
leo <Text 1> <Text 2> | Leo Strutting
live <Text 1> <Text 2> | Do It Live!
ll <Text 1> <Text 2> | Laughing Lizard
lrv <Text 1> <Text 2> | Laundry Room Viking
mb <Text 1> <Text 2> | Member Berries
michaelscott <Text 1> <Text 2> | Michael Scott No God No
millers <Text 1> <Text 2> | You Guys Are Getting Paid?
minikeanu <Text 1> <Text 2> | Mini Keanu Reeves
mmm <Text 1> <Text 2> | Minor Mistake Marvin
money <Text 1> <Text 2> | Shut Up and Take My Money!
mordor <Text 1> <Text 2> | One Does Not Simply Walk into Mordor
morpheus <Text 1> <Text 2> | Matrix Morpheus
mw <Text 1> <Text 2> | I Guarantee It
nice <Text 1> <Text 2> | So I Got That Goin' For Me, Which is Nice
noidea <Text 1> <Text 2> | I Have No Idea What I'm Doing
ntot <Text 1> <Text 2> | No Take, Only Throw
oag <Text 1> <Text 2> | Overly Attached Girlfriend
officespace <Text 1> <Text 2> | That Would Be Great
older <Text 1> <Text 2> | An Older Code Sir, But It Checks Out
oprah <Text 1> <Text 2> | Oprah You Get a Car
patrick <Text 1> <Text 2> | Push it somewhere else Patrick
persian <Text 1> <Text 2> | Persian Cat Room Guardian
philosoraptor <Text 1> <Text 2> | Philosoraptor
pigeon <Text 1> <Text 2> | Is This a Pigeon?
ptj <Text 1> <Text 2> | Phoebe Teaching Joey
puffin <Text 1> <Text 2> | Unpopular opinion puffin
red <Text 1> <Text 2> | Oh, Is That What We're Going to Do Today?
regret <Text 1> <Text 2> | I Immediately Regret This Decision!
remembers <Text 1> <Text 2> | Pepperidge Farm Remembers
rollsafe <Text 1> <Text 2> | Roll Safe
sadbiden <Text 1> <Text 2> | Sad Joe Biden
sadboehner <Text 1> <Text 2> | Sad John Boehner
sadbush <Text 1> <Text 2> | Sad George Bush
sadclinton <Text 1> <Text 2> | Sad Bill Clinton
sadobama <Text 1> <Text 2> | Sad Barack Obama
sadfrog <Text 1> <Text 2> | Sad Frog / Feels Bad Man
saltbae <Text 1> <Text 2> | Salt Bae
sarcasticbear <Text 1> <Text 2> | Sarcastic Bear
sb <Text 1> <Text 2> | Scumbag Brain
scc <Text 1> <Text 2> | Sudden Clarity Clarence
sf <Text 1> <Text 2> | Sealed Fate
sk <Text 1> <Text 2> | Skeptical Third World Kid
ski <Text 1> <Text 2> | Super Cool Ski Instructor
snek <Text 1> <Text 2> | Skeptical Snake
soa <Text 1> <Text 2> | Seal of Approval
sohappy <Text 1> <Text 2> | I Would Be So Happy
sohot <Text 1> <Text 2> | So Hot Right Now
soupnazi <Text 1> <Text 2> | No Soup for You / Soup Nazi
sparta <Text 1> <Text 2> | This is Sparta!
spiderman <Text 1> <Text 2> | Spider-Man Pointing at Spider-Man
spongebob <Text 1> <Text 2> | Mocking Spongebob
ss <Text 1> <Text 2> | Scumbag Steve
stew <Text 1> <Text 2> | Baby, You've Got a Stew Going
stopit <Text 1> <Text 2> | Stop It, Get Some Help
success <Text 1> <Text 2> | Success Kid
tenguy <Text 1> <Text 2> | 10 Guy
toohigh <Text 1> <Text 2> | The Rent Is Too Damn High
tried <Text 1> <Text 2> | At Least You Tried
trump <Text 1> <Text 2> | Donald Trump
ugandanknuck <Text 1> <Text 2> | Ugandan Knuckles
whatyear <Text 1> <Text 2> | What Year Is It?
winter <Text 1> <Text 2> | Winter is coming
wkh <Text 1> <Text 2> | Who Killed Hannibal?
wonka <Text 1> <Text 2> | Condescending Wonka
xy <Text 1> <Text 2> | X all the Y
yallgot <Text 1> <Text 2> | Y'all Got Any More of Them
yodawg <Text 1> <Text 2> | Xzibit Yo Dawg
yuno <Text 1> <Text 2> | Y U NO Guy
zerowing <Text 1> <Text 2> | All Your Base Are Belong to Us
checktokens | Checks the tokens from Tokens.txt and removes invalid ones
spamwebhook <Webhook URL> | Spams a webhook
raidjoin <Invite Code> | Lets all tokens join the server
raidleave <Server ID> | Lets all tokens leave the server
raidmessage <Channel ID> <Amount> <Message> | Lets all tokens write messages in a channel
raidfriendrequest <User ID> | Lets all tokens send friend requests to the user
raidremovefriend <User ID> | Lets all tokens remove the user as friend
raidnick <Guild ID> <Nickname> | Sets the nickname of all tokens on a server
raidreact <Channel ID> <Message ID> <Emoji> | Lets all tokens react on a message with an emoji
raidproxyjoin <Invite Code> | Lets all tokens join the server
raidproxyleave <Server ID> | Lets all tokens leave the server
raidproxymessage <Channel ID> <Amount> <Message> | Lets all tokens write messages in a channel
raidproxyfriendrequest <User ID> | Lets all tokens send friend requests to the user
raidproxyremovefriend <User ID> | Lets all tokens remove the user as friend
raidproxynick <Guild ID> <Nickname> | Sets the nickname of all tokens on a server
raidproxyreact <Channel ID> <Message ID> <Emoji> | Lets all tokens react on a message with an emoji
cpp <Code> | C++ code block
cs <Code> | C-Sharp code block
java <Code> | Java code block
py <Code> | Python code block
js <Code> | JavaScript code block
lua <Code> | Lua code block
php <Code> | php code block
html <Code> | HTML code block
css <Code> | CSS code block
yaml <Code> | YAML code block
_json <Code> | JSON code block
ini <Code> | INI code block
xml <Code> | XML code block
swift <Code> | Swift code block
sql <Code> | SQL code block
matlab <Code> | Matlab code block
bash <Code> | Bash code block
go <Code> | Go code block
http <Code> | HTTP code block
perl <Code> | Perl code block
rust <Code> | Rust code block
asciidoc <Code> | Asciidoc code block
ahk <Code> | Autohotkey code block
coffeescript <Code> | CoffeeScript code block
diff <Code> | Diff code block
fix <Code> | Fix code block
ml <Code> | ML code block
prolog <Code> | Prolog code block
xl <Code> | XL code block
ruby <Code> | Ruby code block
iptype <IP Address> | Displays whether the IP is bad and what type it is
ipresolve <IP Address> | Resolves an IP Address
portscan <IP Address> | Scans an IP Address for open ports
rdns <IP Address> | Scans for reverse DNS records
host2ip <Domain> | Shows IP of host
showping <IP Address> | Shows ping of an IP
ban <User> | Bans an user
softban <User> | Bans and unbans an user
hackban <User ID> | Bans an user outside of the server
unban <User ID> | Unban an user
kick <User> | Kicks an user
delinvites | Deletes all server invites
addemoji <Name> <URL> | Adds an emoji
editemoji <Emoji> <Name> | Renames the emoji
emojidelete <Emoji> | Deletes the emoji
lockchannel <Channel> | Locks a channel
unlockchannel <Channel> | Unocks a channel
slowmode <Seconds> | Set channel slowmode
pin <Channel> <Message ID> | Pin a message
unpin <Channel> <Message ID> | Unpin a message
semimute <User> | Delete every message a user sends
unsemimute <User> | Stop semi-mute for user
clearsemimute | Clear semi-mute list
nick <Member> <Nickname> | Set a nickname
crawl <URL> | Crawl a website
traceroute <IP> | Traceroute an IP 
httpheaders <IP> | Show HTTP headers
subnetcalc <Subnet> | Calculate a subnet mask
aslookup <ASN> | ASN Lookup
voice | Voice commands
vcdisconnectall <Voice Channel> | Disconnects all clients from a voice channel
vcdisconnect <Member> | Disconnects a client from a voice channel
vcmovespam <Amount> | Moves all clients a specific amount of times to random channels
vcdeafen <Member> | Deafens a member
vcmute <Member> | Mutes a member
vcundeafen <Member> | Undeafens a member
vcunmute <Member> | Unmutes a member
UNDOCUMENTED COMMANDS BELOW
elixir <Code> | Elixir code block
macresolve <MAC Address> | Resolves a MAC Address
serverbandetection | Toggles server ban detection
nserverban | Toggles server ban Windows notifications
giveawaybotadd <Bot> <Emoji> | Adds a bot to the Giveaway sniper list
jail <User> | Jail meme (BROKEN!)
snow <User> | Snow meme
meme | Shows a random meme
vcmoveto <Member> <Voice Channel> | Moves a user to a voice channel
customstatus <Emoji> <Text> | Edits your status
trivia | Shows a trivia question
whoasked | Tells you who asked
sleekrestart <Test ID> | Restarts a Sleek.to attack
NEW COMMANDS
None yet
